6682 HK Equity	 BEIJING FOURTH PARADIGM TE-H 
LEGN US Equity	 LEGEND BIOTECH CORP-ADR 
9660 HK Equity	 HORIZON ROBOTICS INC 
9926 HK Equity	 AKESO INC 
762 HK Equity	 CHINA UNICOM HONG KONG LTD 
1799 HK Equity	 XINTE ENERGY CO LTD-H 
3888 HK Equity	 KINGSOFT CORP LTD 
3800 HK Equity	 GCL TECHNOLOGY HOLDINGS LTD 
1045 HK Equity	 APT SATELLITE HOLDINGS LTD 
2696 HK Equity	 SHANGHAI HENLIUS BIOTECH I-H 
9969 HK Equity	 INNOCARE PHARMA LTD-H 
3319 HK Equity	 A-LIVING SMART CITY SERVIC-H 
2869 HK Equity	 GREENTOWN SERVICE GROUP CO L 
1816 HK Equity	 CGN POWER CO LTD-H 
